photonEnergy	Refl_sample	Phase_Sample	Refl_Monochromator	Phase_Monochromator	ReflSample_cc_ReflMono2	
-5.74	9.78046225078e-05	3.32866126191	0.00016203075353	3.41075997006	0.000107111676787	
-5.72	9.84719394694e-05	3.32864873319	0.000163112641615	3.41072728434	0.000107877155086	
-5.7	9.9146109811e-05	3.32863611966	0.000164205402408	3.41069438181	0.000108650875521	
-5.68	9.98272277061e-05	3.32862342046	0.000165309182097	3.41066126031	0.000109432956947	
-5.66	0.000100515388952	3.32861063471	0.000166424129338	3.41062791764	0.000110223520373	
-5.64	0.000101210691003	3.32859776153	0.000167550395301	3.41059435159	0.000111022689006	
-5.62	0.000101913233003	3.32858480001	0.000168688133723	3.41056055989	0.000111830588301	
-5.6	0.000102623115826	3.32857174924	0.000169837500962	3.41052654027	0.00011264734601	
-5.58	0.000103340442107	3.32855860831	0.000170998656047	3.41049229041	0.000113473092231	
-5.56	0.00010406531628	3.32854537626	0.000172171760735	3.41045780797	0.000114307959463	
-5.54	0.000104797844621	3.32853205215	0.000173356979568	3.41042309056	0.000115152082655	
-5.52	0.000105538135279	3.32851863501	0.00017455447993	3.41038813578	0.000116005599267	
-5.5	0.000106286298322	3.32850512387	0.000175764432107	3.41035294119	0.00011686864932	
-5.48	0.000107042445776	3.32849151774	0.000176987009346	3.4103175043	0.000117741375457	
-5.46	0.000107806691666	3.3284778156	0.000178222387917	3.41028182261	0.000118623923	
-5.44	0.000108579152062	3.32846401645	0.000179470747178	3.41024589356	0.000119516440016	
-5.42	0.000109359945118	3.32845011924	0.00018073226964	3.41020971459	0.00012041907737	
-5.4	0.000110149191123	3.32843612293	0.000182007141033	3.41017328307	0.0001213319888	
-5.38	0.000110947012543	3.32842202645	0.000183295550375	3.41013659634	0.000122255330972	
-5.36	0.000111753534071	3.32840782872	0.000184597690039	3.41009965172	0.000123189263556	
-5.34	0.000112568882673	3.32839352866	0.000185913755832	3.41006244647	0.000124133949292	
-5.32	0.000113393187641	3.32837912514	0.00018724394706	3.41002497784	0.000125089554058	
-5.3	0.000114226580644	3.32836461704	0.00018858846661	3.409987243	0.00012605624695	
-5.28	0.000115069195779	3.32835000322	0.000189947521024	3.40994923911	0.000127034200351	
-5.26	0.000115921169625	3.32833528252	0.00019132132058	3.40991096329	0.000128023590011	
-5.24	0.000116782641298	3.32832045376	0.000192710079373	3.4098724126	0.000129024595126	
-5.22	0.000117653752513	3.32830551575	0.000194114015397	3.40983358408	0.000130037398418	
-5.2	0.000118534647632	3.32829046727	0.000195533350632	3.4097944747	0.000131062186223	
-5.18	0.000119425473736	3.3282753071	0.000196968311133	3.40975508141	0.000132099148571	
-5.16	0.000120326380675	3.32826003398	0.000198419127116	3.40971540111	0.000133148479279	
-5.14	0.000121237521141	3.32824464665	0.000199886033056	3.40967543063	0.000134210376039	
-5.12	0.000122159050725	3.32822914383	0.000201369267776	3.4096351668	0.000135285040515	
-5.1	0.000123091127988	3.3282135242	0.000202869074548	3.40959460637	0.000136372678435	
-5.08	0.000124033914526	3.32819778645	0.000204385701193	3.40955374605	0.000137473499695	
-5.06	0.000124987575045	3.32818192922	0.00020591940018	3.40951258249	0.000138587718454	
-5.04	0.000125952277426	3.32816595116	0.000207470428734	3.40947111232	0.000139715553246	
-5.02	0.000126928192806	3.32814985087	0.000209039048945	3.40942933208	0.00014085722708	
-5.0	0.00012791549565	3.32813362695	0.000210625527874	3.4093872383	0.000142012967558	
-4.98	0.000128914363827	3.32811727796	0.00021223013767	3.40934482742	0.000143183006985	
-4.96	0.000129924978695	3.32810080246	0.00021385315569	3.40930209585	0.000144367582486	
-4.94	0.000130947525183	3.32808419897	0.000215494864611	3.40925903993	0.000145566936127	
-4.92	0.000131982191869	3.328067466	0.000217155552559	3.40921565596	0.000146781315043	
-4.9	0.000133029171075	3.32805060202	0.000218835513235	3.40917194018	0.00014801097156	
-4.88	0.000134088658954	3.32803360549	0.000220535046041	3.40912788875	0.000149256163329	
-4.86	0.000135160855577	3.32801647483	0.00022225445622	3.40908349781	0.000150517153465	
-4.84	0.000136245965037	3.32799920846	0.000223994054986	3.40903876341	0.000151794210682	
-4.82	0.000137344195535	3.32798180476	0.000225754159671	3.40899368154	0.000153087609437	
-4.8	0.00013845575949	3.32796426208	0.000227535093865	3.40894824814	0.000154397630084	
-4.78	0.000139580873635	3.32794657874	0.000229337187567	3.40890245908	0.000155724559017	
-4.76	0.000140719759126	3.32792875306	0.000231160777339	3.40885631017	0.000157068688838	
-4.74	0.00014187264165	3.3279107833	0.000233006206461	3.40880979716	0.000158430318511	
-4.72	0.000143039751535	3.32789266771	0.000234873825094	3.4087629157	0.000159809753532	
-4.7	0.000144221323869	3.32787440451	0.000236763990446	3.4087156614	0.000161207306102	
